ID,Name,Credit Hours
ARCH 4412,Drawing and the Human Figure,3
ARCH 4413,Collage Making,3
ARCH 4414,Representation in Watercolor,3
ARCH 4415,Photography I,3
ARCH 4416,Photography II,3
ARCH 4417,Building Furniture and Furnishing Buildings,3
ARCH 4447,Urban Ecological Design,3
ARCH 4503,BIM (Building Information Modeling) Applications,3
ARCH 4505,Geometric Constructs,3
ARCH 4507,Parametric Design,3
ARCH 4508,Shape Grammars,3
ARCH 4515,Collaborative Design Workshop,3
ARCH 4630,"Architecture, Space and Culture",3
ARCH 4698,Undergraduate Research Assistantship,1
ARCH 4699,Undergraduate Research,1
ARCH 4701,Analog-Digital Design Computing,3
ARCH 4702,Design Scripting,3
ARCH 4770,Psychology and Environmental Design,3
ARCH 4801,Special Topics,1
ARCH 4802,Special Topics,2
ARCH 4803,Special Topics,3
ARCH 4804,Special Topics,4
ARCH 4805,Special Topics,5
ARCH 4811,Special Topics: Architectural Design,1
ARCH 4812,Special Topics: Architectural Design,2
ARCH 4813,Special Topics: Architectural Design,3
ARCH 4814,Special Topics: Architectural Design,4
ARCH 4815,Special Topics: Architectural Design,5
ARCH 4821,Special Topics in History and Theory,3
ARCH 4822,Special Topics in History and Theory,3
ARCH 4823,Special Topics in History and Theory,3
ARCH 4831,Special Topics in Technology,3
ARCH 4832,Special Topics in Technology,3
ARCH 4833,Special Topics in Technology,3
ARCH 4841,Special Topics: Professional and Social Practice,3
ARCH 4842,Special Topics: Professional and Social Practice,3
ARCH 4843,Special Topics: Professional and Social Practice,3
ARCH 4851,Special Topics,1
ARCH 4852,Special Topics,2
ARCH 4853,Special Topics,3
ARCH 4855,Special Topics,5
ARCH 4863,Special Topics,3
ARCH 4901,Special Problems,1
ARCH 4902,Special Problems,1
ARCH 4903,Special Problems,1
ARCH 4904,Special Problems,1
ARCH 4905,Special Problems,1
ARCH 4911,Special Problems - Visual Communications,1
ARCH 4912,Special Problems - Visual Communications,1
ARCH 4913,Special Problems - Visual Communications,1
ARCH 4914,Special Problems - Visual Communications,1
ARCH 4915,Special Problems: Architectural Design,1
ARCH 4921,"Special Problems: History, Theory, and Criticism",1
ARCH 4922,"Special Problems: History, Theory, and Criticism",1
ARCH 4923,"Special Problems: History, Theory, and Criticism",1
ARCH 4931,Special Problems: Architectural Technology,1
ARCH 4932,Special Problems: Architectural Technology,1
ARCH 4933,Special Problems: Architectural Technology,1
ARCH 4941,Special Problems,1
ARCH 4942,Special Problems,1
ARCH 4943,Special Problems,1
ARCH 4951,Special Problems,1
ARCH 4952,Special Problems,1
ARCH 4953,Special Problems,1
ARCH 4XXX,Architecture Elective,1
ARCH 6007,Art & Architecture in Greece,3
ARCH 6008,Art & Architecture in Italy I,3
ARCH 6009,Art & Architecture in Italy II,3
ARCH 6010,Media + Modeling 1,3
ARCH 6011,Urban Design Laboratory,6
ARCH 6015,Structures 1,3
ARCH 6016,Structures 2,3
ARCH 6020,Media + Modeling 2,3
ARCH 6024,Architecture Core I Studio,5
ARCH 6026,Architecture Core II Studio,5
ARCH 6027,Architecture Core III Studio,5
ARCH 6028,Core 1 Studio,5
ARCH 6029,Core 2 Studio,5
ARCH 6030,Core 3 Studio,5
ARCH 6039,Advanced Architectural Studio 1,6
ARCH 6040,Advanced Architectural Studio 2,6
ARCH 6049,Design + Research Studio 1,6
ARCH 6050,Design + Research Studio 2,6
ARCH 6069,Advanced Architectural Design I,6
ARCH 6070,Advanced Architectural Design II,6
ARCH 6071,Architecture Design and Research Studio I,6
ARCH 6072,Architectural Design and Research Studio 2,6
ARCH 6100,Retrofitting Suburbia,3
ARCH 6105,Architectural History I - Antiquity through the 18th Century,3
ARCH 6106,Architectural History II - 19th and 20th Century,3
ARCH 6107,Intro to Historic Preser,3
ARCH 6109,Architecture and Minimalism,3
ARCH 6110,Public Space: Questions and Configurations,3
ARCH 6112,Islamic Architecture and Urbanism,3
ARCH 6113,History of Renaissance and Mannerist Architecture,3
ARCH 6114,Architecture and Discourse of the Everyday,3
ARCH 6115,Introduction to Principles of Classical Design,3
ARCH 6117,Architecture of the Arts and Crafts Movement,3
ARCH 6119,Frank Lloyd Wright and His Influence,3
ARCH 6120,History of Atlanta Architecture,3
ARCH 6127,Introduction to Art and Architecture in Italy,1
ARCH 6129,Form and Narrative: Cross Media Analysis,3
ARCH 6135,Architectural Representation,3
ARCH 6136,Architecture and Ideology,3
ARCH 6137,Postwar Architecture and Urbanism in the U,:
ARCH 6142,Dwelling: Histories and Theories of Environmental Behavior and Design,3
ARCH 6143,Museums Hist Thry Design,3
ARCH 6151,Theories of Urban Design,3
ARCH 6152,Studies in Landscape Architecture,3
ARCH 6153,History and Theory of the Modern City,3
ARCH 6154,Introduction to Urban Design,3
ARCH 6155,Contemporary Architecture and Urbanism in Europe,3
ARCH 6160,"Race, Space, and Architecture in the United States",3
ARCH 6171,Formulation of Design Intention in Architecture,3
ARCH 6206,Studies in Architectural Building Assemblies,3
ARCH 6209,Building Enclosure: A Tectonic Element,3
ARCH 6210,Architectonics,3
ARCH 6215,Contemporary Architecture and Construction Technology,3
ARCH 6216,Eco-Technology: Ideas and Constructions,3
ARCH 6218,The Material Logic of Architecture,3
ARCH 6225,Reinvestigating the Detail: The Ornamental and the Everyday,3
ARCH 6226,Green Construction,3
ARCH 6227,Architecture and Ecology,3
ARCH 6228,Analytical Investigations in Urban Design,3
ARCH 6229,Construction Technology and Design Integration I,3
ARCH 6230,Construction Technology and Design Integration 2,3
ARCH 6241,Building Simulation in Design Practice,3
ARCH 6242,Building Physics Modeling,3
ARCH 6243,Evidence-Based Design,3
ARCH 6251,Building Structures I,3
ARCH 6252,Building Structures II,3
ARCH 6268,"Advanced Architecture, Culture and Behavior:  Theories, Models and Methods",3
ARCH 6271,Healthcare Design of the Future,3
ARCH 6303,Urban Design: Policy and Implementation,3
ARCH 6305,"Near and Far: Cross-Cultural Practices in Art, Architecture, and Design",3
ARCH 6312,"Ecological Practice: History, Polemics, and Poetics",3
ARCH 6313,Traditions of Architectural Practice,3
ARCH 6315,Practice of Architecture I,3
ARCH 6316,Practice of Architecture 2,3
ARCH 6350,Theory of Architecture I,3
ARCH 6352,Theory of Architecture 2,3
ARCH 6404,Electronic Media: From Technique to Culture,3
ARCH 6412,Dwelling: Histories and Theories of Environmental Behavior and Design,3
ARCH 6417,Building Furniture/Furnishing Buildings,3
ARCH 6420,Design Computing,3
ARCH 6426,3D Modeling in Architecture,3
ARCH 6427,Advanced Modeling and Animation in Architecture,3
ARCH 6428,"Formal Systems in Design, Art, and Architecture",3
ARCH 6447,Urban Ecological Design,3
ARCH 6470,Architecture Modeling & Media I,3
ARCH 6472,Architecture Modeling & Media 2,3
ARCH 6474,Architecture Modeling & Media 3,3
ARCH 6501,Analog and Digital Design Computation,3
ARCH 6502,Scripting for Architecture and Design,3
ARCH 6503,Building Information Modeling - Concepts and Applications,3
ARCH 6504,Digital Design and Fabrication Workshop,6
ARCH 6505,Geometric Constructs in Digital Space,3
ARCH 6506,"Construction Materials, Systems, and Fabrications",3
